symbol,name,start,end,records,file
159915,创业板,2018-01-02,2025-12-31,1941,159915_创业板.csv
159928,消费,2018-01-02,2025-12-31,1942,159928_消费.csv
510300,沪深300,2018-01-02,2025-12-31,1942,510300_沪深300.csv
510500,中证500,2018-01-02,2025-12-31,1942,510500_中证500.csv
512010,医药,2019-01-02,2025-12-31,1698,512010_医药.csv
512200,房地产,2018-01-02,2025-12-31,1942,512200_房地产.csv
512580,环保,2018-01-02,2025-12-31,1942,512580_环保.csv
512660,军工,2018-01-02,2025-12-31,1942,512660_军工.csv
512690,酒,2019-05-06,2025-12-31,1619,512690_酒.csv
512720,计算机,2019-08-16,2025-12-31,1547,512720_计算机.csv
512760,半导体,2019-06-12,2025-12-31,1593,512760_半导体.csv
512800,银行,2019-01-02,2025-12-31,1699,512800_银行.csv
512880,证券,2019-01-02,2025-12-31,1699,512880_证券.csv
512890,红利低波,2019-01-18,2025-12-31,1686,512890_红利低波.csv
512980,传媒,2018-01-19,2025-12-31,1929,512980_传媒.csv
513100,纳指,2018-01-02,2025-12-31,1941,513100_纳指.csv
515050,5G通信,2019-10-16,2025-12-31,1510,515050_5G通信.csv
518880,黄金,2018-01-02,2025-12-31,1942,518880_黄金.csv
